index, stamp_sec, stamp_usec
1000,1638428761,125141
1001,1638428761,175283
1002,1638428761,224905
1003,1638428761,274509
1004,1638428761,324177
1005,1638428761,373724
1006,1638428761,424309
1007,1638428761,474122
1008,1638428761,525546
1009,1638428761,575166
1010,1638428761,625319
1011,1638428761,675570
1012,1638428761,726916
1013,1638428761,777533
1014,1638428761,827951
1015,1638428761,877357
1016,1638428761,927295
1017,1638428761,977976
1018,1638428762,26345
1019,1638428762,77116
1020,1638428762,125264
1021,1638428762,184073
1022,1638428762,221476
1023,1638428762,276310
1024,1638428762,326086
1025,1638428762,374172
1026,1638428762,423606
1027,1638428762,473450
1028,1638428762,523687
1029,1638428762,576076
1030,1638428762,625923
1031,1638428762,676337
1032,1638428762,723740
1033,1638428762,776209
1034,1638428762,823909
1035,1638428762,875731
1036,1638428762,924971
1037,1638428762,973601
1038,1638428763,23204
1039,1638428763,75496
1040,1638428763,126566
1041,1638428763,171278
1042,1638428763,223299
1043,1638428763,274782
1044,1638428763,324629
1045,1638428763,375031
1046,1638428763,423135
1047,1638428763,476566
1048,1638428763,523392
1049,1638428763,574287
1050,1638428763,622997
1051,1638428763,673791
1052,1638428763,722851
1053,1638428763,772919
1054,1638428763,824269
1055,1638428763,872364
1056,1638428763,923023
1057,1638428763,972505
1058,1638428764,24671
1059,1638428764,74070
1060,1638428764,122559
1061,1638428764,173523
1062,1638428764,222582
1063,1638428764,270699
1064,1638428764,321570
1065,1638428764,371267
1066,1638428764,421405
1067,1638428764,471147
1068,1638428764,519994
1069,1638428764,569622
1070,1638428764,619358
1071,1638428764,670865
1072,1638428764,720827
1073,1638428764,771047
1074,1638428764,820992
1075,1638428764,871253
1076,1638428764,922838
1077,1638428764,972606
1078,1638428765,25677
1079,1638428765,74147
1080,1638428765,124363
1081,1638428765,180729
1082,1638428765,225677
1083,1638428765,273645
1084,1638428765,324050
1085,1638428765,373297
1086,1638428765,422739
1087,1638428765,471488
1088,1638428765,522098
1089,1638428765,572218
1090,1638428765,621472
1091,1638428765,671148
1092,1638428765,720931
1093,1638428765,770462
1094,1638428765,821033
1095,1638428765,870779
1096,1638428765,920847
1097,1638428765,971236
1098,1638428766,23013
1099,1638428766,70665
1100,1638428766,121371
1101,1638428766,171532
1102,1638428766,221838
1103,1638428766,271945
1104,1638428766,322200
1105,1638428766,373257
1106,1638428766,423063
1107,1638428766,472403
1108,1638428766,522324
1109,1638428766,573072
1110,1638428766,622870
1111,1638428766,672673
1112,1638428766,722623
1113,1638428766,771206
1114,1638428766,822310
1115,1638428766,867285
1116,1638428766,922157
1117,1638428766,973072
1118,1638428767,19810
1119,1638428767,68797
1120,1638428767,120116
1121,1638428767,168368
1122,1638428767,220951
1123,1638428767,269861
1124,1638428767,319461
1125,1638428767,369693
1126,1638428767,417910
1127,1638428767,468240
1128,1638428767,518405
1129,1638428767,569357
1130,1638428767,618915
1131,1638428767,668790
1132,1638428767,719030
1133,1638428767,769477
1134,1638428767,819385
1135,1638428767,870451
1136,1638428767,920257
1137,1638428767,970550
1138,1638428768,20139
1139,1638428768,71240
1140,1638428768,121990
1141,1638428768,175085
1142,1638428768,223066
1143,1638428768,271294
1144,1638428768,320406
1145,1638428768,369899
1146,1638428768,420852
1147,1638428768,466865
1148,1638428768,521204
1149,1638428768,570977
1150,1638428768,619555
1151,1638428768,669962
1152,1638428768,720336
1153,1638428768,771155
1154,1638428768,820336
1155,1638428768,865899
1156,1638428768,918819
1157,1638428768,968678
1158,1638428769,20993
1159,1638428769,65570
1160,1638428769,121682
1161,1638428769,169301
1162,1638428769,216467
1163,1638428769,269265
1164,1638428769,321271
1165,1638428769,370412
1166,1638428769,415503
1167,1638428769,467913
1168,1638428769,517069
1169,1638428769,570031
1170,1638428769,620024
1171,1638428769,666464
1172,1638428769,720529
1173,1638428769,770319
1174,1638428769,819819
1175,1638428769,869237
1176,1638428769,918940
1177,1638428769,965915
1178,1638428770,15730
1179,1638428770,69145
1180,1638428770,118389
1181,1638428770,169725
1182,1638428770,215512
1183,1638428770,268676
1184,1638428770,319508
1185,1638428770,365525
1186,1638428770,418915
1187,1638428770,468724
1188,1638428770,518478
1189,1638428770,568677
1190,1638428770,617610
1191,1638428770,665915
1192,1638428770,718698
1193,1638428770,768451
1194,1638428770,817976
1195,1638428770,867888
1196,1638428770,917165
1197,1638428770,966707
1198,1638428771,15805
1199,1638428771,65142
1200,1638428771,115600
1201,1638428771,173510
1202,1638428771,215216
1203,1638428771,263343
1204,1638428771,313022
1205,1638428771,365342
1206,1638428771,415972
1207,1638428771,464997
1208,1638428771,517127
1209,1638428771,565864
